2023-08-17 01:09:00,953 WARN  [org.apache.activemq.artemis.core.server] AMQ222149: Sending message Reference[46539]:RELIABLE:CoreMessage[messageID=46539,durable=true,userID=9fb31d9c-3c9a-11ee-beb6-0a002700000b,priority=4, timestamp=Thu Aug 17 01:08:49 UTC 2023,expiration=0, durable=true, address=simple.fail,size=349,properties=TypedProperties[__AMQ_CID=95a36e7c-3c9a-11ee-beb6-0a002700000b, _AMQ_ROUTING_TYPE=1]]@821270872 to Dead Letter Address DLA from simple.fail
2023-08-17 01:09:31,619 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 95a36e7d-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:09:31,621 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 95a36e7d-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:09:31,621 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session b857b5e6-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:09:31,622 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session b857b5e6-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:09:31,624 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 9c41c48d-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:09:31,626 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 9c41c48d-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:09:31,626 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session 9c4d0f2e-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:09:31,627 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session 9c4d0f2e-3c9a-11ee-beb6-0a002700000b
2023-08-17 01:45:54,024 INFO  [org.apache.activemq.artemis] AMQ241005: Stopping embedded web server
2023-08-17 01:45:54,053 INFO  [io.hawt.HawtioContextListener] Destroying hawtio services
2023-08-17 01:45:54,547 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
2023-08-17 01:45:54,975 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
2023-08-17 01:45:55,927 INFO  [org.apache.activemq.artemis] AMQ241006: Stopped embedded web server
2023-08-17 01:45:55,933 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.30.0 [7c95a8d8-3be0-11ee-829b-0242ac170002] stopped, uptime 39 minutes
2023-08-17 04:50:43,970 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server version 2.30.0
2023-08-17 04:50:44,769 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=data/journal,bindingsDirectory=data/bindings,largeMessagesDirectory=data/large-messages,pagingDirectory=data/paging)
2023-08-17 04:50:45,283 INFO  [org.apache.activemq.artemis.core.server] AMQ221012: Using AIO Journal
2023-08-17 04:50:46,274 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1073741824
2023-08-17 04:50:46,763 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2023-08-17 04:50:46,766 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2023-08-17 04:50:46,767 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2023-08-17 04:50:46,769 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
2023-08-17 04:50:46,771 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
2023-08-17 04:50:46,772 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
2023-08-17 04:50:47,461 INFO  [org.apache.activemq.artemis.core.server] AMQ221034: Waiting indefinitely to obtain live lock
2023-08-17 04:50:47,462 INFO  [org.apache.activemq.artemis.core.server] AMQ221035: Live Server Obtained live lock
2023-08-17 04:50:51,269 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address DLQ supporting [ANYCAST]
2023-08-17 04:50:51,272 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue DLQ on address DLQ
2023-08-17 04:50:51,374 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address ExpiryQueue supporting [ANYCAST]
2023-08-17 04:50:51,461 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue ExpiryQueue on address ExpiryQueue
2023-08-17 04:50:55,887 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2023-08-17 04:50:55,963 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
2023-08-17 04:50:55,967 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5672 for protocols [AMQP]
2023-08-17 04:50:55,971 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:1883 for protocols [MQTT]
2023-08-17 04:50:55,975 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61613 for protocols [STOMP]
2023-08-17 04:50:56,017 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
2023-08-17 04:50:56,061 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.30.0 [0.0.0.0, nodeID=7c95a8d8-3be0-11ee-829b-0242ac170002] 
2023-08-17 04:50:56,169 INFO  [org.apache.activemq.artemis] AMQ241003: Starting embedded web server
2023-08-17 04:51:00,774 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Initialized activemq-branding plugin
2023-08-17 04:51:04,566 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Initialized artemis-plugin plugin
2023-08-17 04:51:16,371 INFO  [io.hawt.HawtioContextListener] Initialising hawtio services
2023-08-17 04:51:16,581 INFO  [io.hawt.system.ConfigManager] Configuration will be discovered via system properties
2023-08-17 04:51:16,679 INFO  [io.hawt.jmx.JmxTreeWatcher] Welcome to Hawtio 2.15.0
2023-08-17 04:51:16,873 INFO  [io.hawt.web.auth.AuthenticationConfiguration] Starting hawtio authentication filter, JAAS realm: "activemq" authorized role(s): "amq" role principal classes: "org.apache.activemq.artemis.spi.core.security.jaas.RolePrincipal"
2023-08-17 04:51:17,068 INFO  [io.hawt.web.auth.LoginRedirectFilter] Hawtio loginRedirectFilter is using 1800 sec. HttpSession timeout
2023-08-17 04:51:17,377 INFO  [io.hawt.web.proxy.ProxyServlet] Proxy servlet is disabled
2023-08-17 04:51:17,575 INFO  [io.hawt.web.servlets.JolokiaConfiguredAgentServlet] Jolokia overridden property: [key=policyLocation, value=file:/var/lib/artemis-instance/./etc/jolokia-access.xml]
2023-08-17 04:51:19,375 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://0.0.0.0:8161
2023-08-17 04:51:19,379 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://0.0.0.0:8161/console/jolokia
2023-08-17 04:51:19,460 INFO  [org.apache.activemq.artemis] AMQ241004: Artemis Console available at http://0.0.0.0:8161/console
2023-08-17 04:51:32,406 WARN  [org.apache.activemq.artemis.core.server] AMQ222149: Sending message Reference[47200]:RELIABLE:CoreMessage[messageID=47200,durable=true,userID=b6b1dc8e-3cb9-11ee-b878-00155d58fc90,priority=4, timestamp=Thu Aug 17 04:51:22 UTC 2023,expiration=0, durable=true, address=simple.fail,size=349,properties=TypedProperties[__AMQ_CID=aa7e640e-3cb9-11ee-b878-00155d58fc90, _AMQ_ROUTING_TYPE=1]]@764079249 to Dead Letter Address DLA from simple.fail
2023-08-17 05:56:51,802 WARN  [org.apache.activemq.artemis.core.server] AMQ222149: Sending message Reference[95288]:RELIABLE:CoreMessage[messageID=95288,durable=true,userID=d89ffe58-3cc2-11ee-b878-00155d58fc90,priority=4, timestamp=Thu Aug 17 05:56:45 UTC 2023,expiration=0, durable=true, address=simple.fail,size=349,properties=TypedProperties[__AMQ_CID=9c066228-3cc2-11ee-b878-00155d58fc90, _AMQ_ROUTING_TYPE=1]]@1553361728 to Dead Letter Address DLA from simple.fail
2023-08-17 05:57:57,963 INFO  [io.hawt.web.auth.LoginServlet] Hawtio login is using 1800 sec. HttpSession timeout
2023-08-17 05:58:00,421 INFO  [io.hawt.web.auth.keycloak.KeycloakServlet] Keycloak integration is disabled
2023-08-17 05:58:02,655 INFO  [io.hawt.web.auth.LoginServlet] Logging in user: artemis
2023-08-17 05:58:25,671 INFO  [org.apache.activemq.artemis] AMQ241005: Stopping embedded web server
2023-08-17 05:58:25,685 INFO  [io.hawt.HawtioContextListener] Destroying hawtio services
2023-08-17 05:58:26,298 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
2023-08-17 05:58:26,594 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
2023-08-17 05:58:26,942 INFO  [org.apache.activemq.artemis] AMQ241006: Stopped embedded web server
2023-08-17 05:58:26,944 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.30.0 [7c95a8d8-3be0-11ee-829b-0242ac170002] stopped, uptime 1 hour 7 minutes
